X,Y,objectid,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
-94.149054,36.3313000000001,29040,"ROGERS, AR",1,WM Supercenter,Retail,true,2110 W WALNUT ST,ROGERS,BENTON,AR,72756-3246,5,Open,,Y,Y,1,Yes,,Yes,Not Available
-75.947441,41.523981,29041,"TUNKHANNOCK, PA",2024,WM Supercenter,Retail,true,808 HUNTER HWY,TUNKHANNOCK,WYOMING,PA,18657-8071,5,Open,,Y,Y,2024,No,Available,No,Available
-94.979814,35.888807,29042,TAHLEQUAH OK,10,WM Supercenter,Retail,true,2020 S MUSKOGEE AVE,TAHLEQUAH,CHEROKEE,OK,74464-5439,5,Open,,Y,Y,10,No,,No,Available
-121.471715,37.7516590000001,29043,"TRACY, CA",2025,WM Supercenter,Retail,true,3010 W GRANT LINE RD,TRACY,SAN JOAQUIN,CA,95304-9402,5,Open,,Y,Y,2025,No,Not Available,No,Not Available
-94.224844,36.3681730000001,29044,"BENTONVILLE, AR",100,WM Supercenter,Retail,true,406 S WALTON BLVD,BENTONVILLE,BENTON,AR,72712-5705,5,Open,,Y,Y,100,No,Not Available,No,Not Available
-66.642578,17.9973600000001,29045,PONCE-PR,2026,WM Supercenter,Retail,true,3305 AVE.BARAMAYA SUITE 100,PONCE,PONCE,PR,00728-0000,5,Open,,Y,Y,2026,,,Yes,
-97.477003,25.9251420000001,29046,BROWNSVILLE TX,1000,WM Supercenter,Retail,true,2721 BOCA CHICA BLVD,BROWNSVILLE,CAMERON,TX,78521-3501,5,Open,,Y,Y,1000,Yes,,Yes,Available
-78.835052,39.6249030000001,29047,"LAVALE, MD",2027,WM Supercenter,Retail,true,12500 COUNTRY CLUB MALL RD,LAVALE,ALLEGANY,MD,21502-7553,5,Open,,Y,Y,2027,Yes,Available,Yes,Available
-104.664898,38.232316,29048,"PUEBLO, CO",1001,WM Supercenter,Retail,true,4080 W NORTHERN AVE,PUEBLO,PUEBLO,CO,81005-3503,5,Open,,Y,Y,1001,Yes,Available,Yes,Available
-117.455339,33.9370710000001,29049,"RIVERSIDE (S), CA",2028,WM Supercenter,Retail,true,5200 VAN BUREN BLVD,RIVERSIDE,RIVERSIDE,CA,92503-2544,5,Open,,Y,Y,2028,No,,Yes,
